ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Environment,Environmental_stage,Vector_transmitted,Final_host,Require_intermediate_host,Data_source,Comment,DOI
54,Buck et al. 2016 Freshw Biol,11,BW,Pseudacris regilla,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Nitrogen and phosphorus conc,Resource,Survival,Survivorship,Uninfected demographic,yes,Comparison,Without_nutrients,With_nutrients,8,8,29.604132,13.425128,,,65.23236,8.95008,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Digitized from Fig 2,"Survival until metamorphosis, however long that takes, tadpoles were not exposed to BD",10.1111/fwb.12685
55,Buck et al. 2016 Freshw Biol,11,BW,Pseudacris regilla,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Nitrogen and phosphorus conc,Resource,Parasite load (genome equivalents),Intensity,Epidemiological,yes,Comparison,Without_nutrients,With_nutrients,80,80,0.65,0.17,,,0.68,0.22,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Results p3,"Parasite load reported for day 20, which is about halfway to metamorphosis",10.1111/fwb.12685
239,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,LS mean Ln infection load,Intensity,Epidemiological,no,Comparison,24C_7day,12C_7day,16,20,-0.041377395,,4.6697736,-4.730275,1.8031014,,3.091962,0.6252906,,,CI,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1a,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-7
240,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,LS mean Ln infection load,Intensity,Epidemiological,no,Comparison,24C_17day,12C_17day,16,20,1.6760025,,3.40937,-0.12397014,5.5204854,,6.587123,4.3649893,,,CI,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1a,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-8
241,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,LS mean Ln infection load,Intensity,Epidemiological,no,Comparison,24C_39day,12C_39day,16,20,1.4378538,,2.7046156,0.015598024,7.904533,,9.237869,6.349067,,,CI,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1a,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-9
242,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,LS mean Ln infection load,Intensity,Epidemiological,no,Comparison,24C_48day,12C_48day,16,20,1.8663423,,3.2885673,0.39976543,7.110828,,9.177405,4.95533,,,CI,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1a,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-10
243,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Infected demographic,no,Contingency table,24C_7day,12C_7day,16,20,,,,,,,,,16,20,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-11
244,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Infected demographic,no,Contingency table,24C_17day,12C_17day,16,20,,,,,,,,,16,20,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-12
245,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Infected demographic,no,Contingency table,24C_39day,12C_39day,16,20,,,,,,,,,14,15,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-13
246,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Infected demographic,no,Contingency table,24C_48day,12C_48day,16,20,,,,,,,,,14,7,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-14
247,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Uninfected demographic,no,Contingency table,24C_7day,12C_7day,20,20,,,,,,,,,19,20,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-15
248,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Uninfected demographic,no,Contingency table,24C_17day,12C_17day,20,20,,,,,,,,,19,19,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-16
249,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Uninfected demographic,no,Contingency table,24C_39day,12C_39day,20,20,,,,,,,,,19,19,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-17
250,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion alive,Survivorship,Uninfected demographic,no,Contingency table,24C_48day,12C_48day,20,20,,,,,,,,,19,19,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Figure 1b,"Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-18
251,Campbell et al. 2019. Scientific Reports,32,AVS,Litoria aurea,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Contingency table,24C,12C,20,20,,,,,,,,,16,20,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,"Text page 4, last paragraph","Study uses mean winter and summer temperatures. I used summer temperature as control, because authors say that at lower temperatures in the winter, the frogs are immunocompromised ",https://doi.org/10.1038/s41598-018-35874-19
281,Rohr et al. 2017. Ecol Appl,36,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Log10 Bd abundance,Intensity,Epidemiological,yes,Comparison,Control_simultaneous,Funguscide_simultaneous,5,38,3.8,1.63,,,3.01,0.55,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 1A,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata",https://doi.org/10.1002/eap.1607
282,Rohr et al. 2017. Ecol Appl,36,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Log10 Bd abundance,Intensity,Epidemiological,yes,Comparison,Control_later,Funguscide_later,10,32,1.8,0.73,,,6.21,0.7,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 1A,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata",https://doi.org/10.1002/eap.1608
283,Rohr et al. 2017. Ecol Appl,37,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Log10 Bd abundance,Intensity,Epidemiological,yes,Comparison,Control_FirstBd,Funguscide_FirstBd,10,25,1.78,0.76,,,4.75,0.62,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 1B,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata. Discrepancy with N from Table S4",https://doi.org/10.1002/eap.1609
284,Rohr et al. 2017. Ecol Appl,37,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Log10 Bd abundance,Intensity,Epidemiological,yes,Comparison,Control_SecondBd,Funcidide_SecondBd,4,20,2.7,2.65,,,0.96,0.48,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 1B,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata. Discrepancy with N from Table S4",https://doi.org/10.1002/eap.1610
285,Rohr et al. 2017. Ecol Appl,36,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Survival,Survivorship,Uninfected demographic,yes,Comparison,Control,Funguscide,20,60,79.74,,35.39,94.88,96.16,,77.4,99.36,,,CI,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 2A,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata",https://doi.org/10.1002/eap.1611
286,Rohr et al. 2017. Ecol Appl,36,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Survival,Survivorship,Infected demographic,yes,Comparison,Control,Funguscide,20,60,89.77,,43.5,98.51,46.48,,21.75,65.88,,,CI,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 2A,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata",https://doi.org/10.1002/eap.1612
287,Rohr et al. 2017. Ecol Appl,37,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Survival,Survivorship,Infected demographic,yes,Comparison,Control_FirstBd,Funguscide_FirstBd,10,25,100,,100,100,68.16,,48.08,83.33,,,CI,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 2B,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata",https://doi.org/10.1002/eap.1613
288,Rohr et al. 2017. Ecol Appl,37,AVS,Osteopilus septentrionalis,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Funguscides,Toxin,Survival,Survivorship,Infected demographic,yes,Comparison,Control_SecondBd,Funcidide_SecondBd,5,21,60.04,,19.87,90.17,85.68,,64.1,95.51,,,CI,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 2B,"They pool Funguscides (Azoxystrobin, chlorothalonil, macozelo) effects cause they don't see statistical difference between them, and to increase statistical power. Usually, medicine or treatment against pathogen is excluded, however they tested the effect of this chemicals on the host. Observational data excluded bc missing demographicdata",https://doi.org/10.1002/eap.1614
309,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen load,Intensity,Epidemiological,no,Comparison,23C,11C,11,11,0.75,0.32,,,3.87,0.61,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig1,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26) because the authors say that the immune system is doing better at higher temperatures. It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected",10.1007/s10393-017-1269-2
310,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen load,Intensity,Epidemiological,no,Comparison,23C,17C,11,10,0.75,0.32,,,1.9,0.42,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 1,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected",10.1007/s10393-017-1269-2
311,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen load,Intensity,Epidemiological,no,Comparison,26C,14C,9,11,1.04,0.27,,,3.46,0.36,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 1,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected",10.1007/s10393-017-1269-2
312,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen load,Intensity,Epidemiological,no,Comparison,26C,20C,9,9,1.04,0.27,,,1.75,0.27,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 1,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected",10.1007/s10393-017-1269-2
313,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Comparison,23C,11C,11,11,,,,,,,,,11,11,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Text results 1st paragraph,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected",10.1007/s10393-017-1269-2
314,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Comparison,23C,17C,11,11,,,,,,,,,11,10,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Text results 1st paragraph,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected",10.1007/s10393-017-1269-2
315,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Comparison,26C,14C,11,11,,,,,,,,,9,11,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Text results 1st paragraph,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected",10.1007/s10393-017-1269-2
316,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,no,Comparison,26C,20C,11,11,,,,,,,,,9,9,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Text results 1st paragraph,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected",10.1007/s10393-017-1269-2
317,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Uninfected demographic,no,Contingency table,23C,11C,11,11,,,,,,,,,11,5,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round ",10.1007/s10393-017-1269-2
318,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Uninfected demographic,no,Contingency table,23C,17C,11,11,,,,,,,,,11,11,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round ",10.1007/s10393-017-1269-2
319,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Uninfected demographic,no,Contingency table,26C,14C,7,7,,,,,,,,,7,7,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round ",10.1007/s10393-017-1269-2
320,Sonn et al. 2017. EcoHealth,41,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Uninfected demographic,no,Contingency table,26C,20C,7,7,,,,,,,,,7,6,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round ",10.1007/s10393-017-1269-2
321,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Infected demographic,no,Contingency table,23C,11C,11,11,,,,,,,,,6,0,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round ",10.1007/s10393-017-1269-2
322,Sonn et al. 2017. EcoHealth,40,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Proportion surviving,Survivorship,Infected demographic,no,Contingency table,23C,17C,11,10,,,,,,,,,6,3,OR,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Fig 3,"Two rounds of experiments: Temp 11, 17 and 23, and 14, 20, 26. On both rounds, the higher temp are considered controls (23 and 26). It is not clear when are the Bd loads measure, it says throughout the experiment, and that it did not differ by week, but by temperature. N changes because some frogs didn't become infected. Point taken at day 99 for 1st round, and 89 for 2nd round ",10.1007/s10393-017-1269-2
