ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
11,Larsen et al. 2018 Front Microbiol,2,BW,Gadus morhua,Fish,Brucella pinnipedialis,Bacteria,Experimental,Temperature,Environment,Parasite load week3,Intensity,Epidemiological,yes,Comparison,Normal_6C_liver,Suboptimal_15C_liver,10,9,0,0,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,Parasite load reported for the last week of mortality
12,Larsen et al. 2018 Front Microbiol,2,BW,Gadus morhua,Fish,Brucella pinnipedialis,Bacteria,Experimental,Temperature,Environment,Parasite load week3,Intensity,Epidemiological,yes,Comparison,Normal_6C_spleen,Suboptimal_15C_spleen,10,9,0.405263,0.270175,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,Parasite load reported for the last week of mortality
13,Larsen et al. 2018 Front Microbiol,2,BW,Gadus morhua,Fish,Brucella pinnipedialis,Bacteria,Experimental,Temperature,Environment,Parasite load week3,Intensity,Epidemiological,yes,Comparison,Normal_6C_muscle,Suboptimal_15C_muscle,10,9,0,0,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,Parasite load reported for the last week of mortality
14,Malek and Byers 2018 PeerJ,3,BW,Crassostrea virginica,Mollusc,Perkinsus marinus,Protozoan,Experimental,Temperature,Environment,Survival,Survivorship,All host demographic,yes,Contingency table,27C,31C,25,25,,,,,,,,,20,16,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Sample size in methods, high temperature treatments excluded because they lack infection intensity data"
15,Malek and Byers 2018 PeerJ,3,BW,Crassostrea virginica,Mollusc,Perkinsus marinus,Protozoan,Experimental,Temperature,Environment,Survival,Survivorship,All host demographic,yes,Contingency table,27C,35C,25,25,,,,,,,,,20,15,OR,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Sample size in methods, high temperature treatments excluded because they lack infection intensity data"
16,Malek and Byers 2018 PeerJ,3,BW,Crassostrea virginica,Mollusc,Perkinsus marinus,Protozoan,Experimental,Temperature,Environment,Survival,Survivorship,All host demographic,yes,Contingency table,27C,39C,25,25,,,,,,,,,20,11,OR,,,,,,,,,,,,,,,,,Digitized from Figure 3,"Sample size in methods, high temperature treatments excluded because they lack infection intensity data"
17,Malek and Byers 2018 PeerJ,3,BW,Crassostrea virginica,Mollusc,Perkinsus marinus,Protozoan,Experimental,Temperature,Environment,Infection intensity,Intensity,Epidemiological,yes,Comparison,27C,31C,12,13,1.300098,0.263441,,,1.809873,0.2155425,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,because mortality was high parasite intensity was recorded at intervals before the end of survival trial
18,Malek and Byers 2018 PeerJ,3,BW,Crassostrea virginica,Mollusc,Perkinsus marinus,Protozoan,Experimental,Temperature,Environment,Infection intensity,Intensity,Epidemiological,yes,Comparison,27C,35C,12,8,1.300098,0.263441,,,2.760997,0.3626588,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,because mortality was high parasite intensity was recorded at intervals before the end of survival trial
19,Malek and Byers 2018 PeerJ,3,BW,Crassostrea virginica,Mollusc,Perkinsus marinus,Protozoan,Experimental,Temperature,Environment,Infection intensity,Intensity,Epidemiological,yes,Comparison,27C,39C,12,11,1.300098,0.263441,,,1.642229,0.2771261,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,because mortality was high parasite intensity was recorded at intervals before the end of survival trial
20,Kruykov et al. 2018 Insect Sci,4,BW,Galleria mellonella,Arthropod,Metarhizium robertsii,Fungus,Experimental,Temperature,Environment,Infection_success_germination_24h,Prevalence,Epidemiological,no,Comparison,HighDose_34C,HighDose_24C,14,14,0.553,0.143,,,0.806,0.085,,,,,SE,,,,,,,,,,,,,,,,,Table 1,"The higher temp is the control because it is described as optimal: ""larvae in the wild develop optimally at around 34 °C"". Error measurement not named explicitly in Table 1, but SE is used throughout the paper. Sample size not given exactly but as the minimum per treatment"
21,Kruykov et al. 2018 Insect Sci,4,BW,Galleria mellonella,Arthropod,Metarhizium robertsii,Fungus,Experimental,Temperature,Environment,Infection_success_germination_24h,Prevalence,Epidemiological,no,Comparison,LowDose_34C,LowDose_24C,14,14,0.469,0.154,,,0.606,0.124,,,,,SE,,,,,,,,,,,,,,,,,Table 1,"The higher temp is the control because it is described as optimal: ""larvae in the wild develop optimally at around 34 °C"". Error measurement not named explicitly in Table 1, but SE is used throughout the paper. Sample size not given exactly but as the minimum per treatment"
22,Kruykov et al. 2018 Insect Sci,4,BW,Galleria mellonella,Arthropod,Metarhizium robertsii,Fungus,Experimental,Temperature,Environment,Mortality_1d_high_dose,Survivorship,Infected demographic,no,Contingency table,HighDose_34C,HighDose_24C,140,140,,,,,,,,,3,7,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,"The higher temp is the control because it is described as optimal: ""larvae in the wild develop optimally at around 34 °C"". Mortality digitized for the day when germination success was measured"
23,Kruykov et al. 2018 Insect Sci,4,BW,Galleria mellonella,Arthropod,Metarhizium robertsii,Fungus,Experimental,Temperature,Environment,Mortality_1d_low_dose,Survivorship,Infected demographic,no,Contingency table,LowDose_34C,LowDose_24C,140,140,,,,,,,,,13,1,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,"The higher temp is the control because it is described as optimal: ""larvae in the wild develop optimally at around 34 °C"". Mortality digitized for the day when germination success was measured"
24,Kruykov et al. 2018 Insect Sci,4,BW,Galleria mellonella,Arthropod,Metarhizium robertsii,Fungus,Experimental,Temperature,Environment,Mortality_1d_infection_control,Survivorship,Uninfected demographic,no,Contingency table,34C,24C,140,140,,,,,,,,,4,0,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,"The higher temp is the control because it is described as optimal: ""larvae in the wild develop optimally at around 34 °C"". Mortality digitized for the day when germination success was measured"
25,Teffer et al. 2018 Can J Fish Aquat Sci,5,BW,Oncorhynchus tshawytscha,Fish,Multiple_1,Multiple,Experimental,Temperature,Environment,Relative infection burden,Intensity,Epidemiological,yes,Comparison,Cool_9C,Warm_14C,89,61,-0.81315845,0.17235455,,,-1.4036698,0.1760291,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,"Sample sizes in Table 1 log copy given for some specific parasites not included. Error measurement not named explicitly in Fig 4, but SE is used throughout the paper. RIB digitized for Time 1 (T1) when mortality was also recorded"
26,Teffer et al. 2018 Can J Fish Aquat Sci,5,BW,Oncorhynchus tshawytscha,Fish,Flavobacterium psychrophilum,Bacteria,Experimental,Temperature,Environment,Log copy number,Intensity,Epidemiological,yes,Comparison,Cool_9C,Warm_14C,89,61,3.862529,0.1572035,,,3.3955164,0.2020915,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,Parasite load digitized for Time 1 (T1) when mortality was also recorded
27,Teffer et al. 2018 Can J Fish Aquat Sci,5,BW,Oncorhynchus tshawytscha,Fish,Ceratonova shasta,Myxozoa,Experimental,Temperature,Environment,Log copy number,Intensity,Epidemiological,yes,Comparison,Cool_9C,Warm_14C,89,61,2.5977015,0.2149091,,,1.9265931,0.2543918,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,Parasite load digitized for Time 1 (T1) when mortality was also recorded
28,Teffer et al. 2018 Can J Fish Aquat Sci,5,BW,Oncorhynchus tshawytscha,Fish,Branchiomonas cysticola,Bacteria,Experimental,Temperature,Environment,Log copy number,Intensity,Epidemiological,yes,Comparison,Cool_9C,Warm_14C,89,61,3.117728,0.1977768,,,2.696018,0.1977844,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,Parasite load digitized for Time 1 (T1) when mortality was also recorded
29,Teffer et al. 2018 Can J Fish Aquat Sci,5,BW,Oncorhynchus tshawytscha,Fish,Ichthyophthirius multifiliis,Protozoan,Experimental,Temperature,Environment,Log copy number,Intensity,Epidemiological,yes,Comparison,Cool_9C,Warm_14C,89,61,1.8456821,0.6018622,,,2.959331,0.251554,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,Parasite load digitized for Time 1 (T1) when mortality was also recorded
30,Teffer et al. 2018 Can J Fish Aquat Sci,5,BW,Oncorhynchus tshawytscha,Fish,Multiple_1,Multiple,Experimental,Temperature,Environment,Mortality,Survivorship,All host demographic,yes,Contingency table,Cool_9C,Warm_14C,89,61,,,,,,,,,33,17,OR,,,,,,,,,,,,,,,,,Table 1,N obtained by adding males and females in row 1. N success obtained by mutliplying % mort by N and rounding in row 1. Survival curves plotted but for a different time frame
31,Korkut et al. 2018 Dev Comp Immunol,6,BW,Pacifastacus leniusculus,Arthropod,White spot syndrome virus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,Cool_6C,Warm_22C,9,9,,,,,,,,,0,9,OR,,,,,,,,,,,,,,,,,Table 2,"Not sure if the cool temperature is a control, gradient direction is only implicit in the framing of the paper. Mortality recorded after about 4 days, parasite load recorded at least after 3 days"
32,Korkut et al. 2018 Dev Comp Immunol,6,BW,Pacifastacus leniusculus,Arthropod,White spot syndrome virus,Virus,Experimental,Temperature,Environment,Expression of capside gene hematopoietic tissue,Intensity,Epidemiological,yes,Comparison,Cool_6C,Warm_22C,7,5,0.010369,0.009637,,,1.422923,0.682448,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 2a,"Not sure if the cool temperature is a control, gradient direction is only implicit in the framing of the paper. Plots include all points which were averaged and SE calculated, mortality recorded after about 4 days, parasite load recorded at least after 3 days"
33,Korkut et al. 2018 Dev Comp Immunol,6,BW,Pacifastacus leniusculus,Arthropod,White spot syndrome virus,Virus,Experimental,Temperature,Environment,Expression of capside gene hematocytes,Intensity,Epidemiological,yes,Comparison,Cool_6C,Warm_22C,4,3,0,0,,,2.673261,1.106387,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 2b,"Not sure if the cool temperature is a control, gradient direction is only implicit in the framing of the paper. Plots include all points which were averaged and SE calculated, mortality recorded after about 4 days, parasite load recorded at least after 3 days"
34,Korkut et al. 2018 Dev Comp Immunol,6,BW,Pacifastacus leniusculus,Arthropod,White spot syndrome virus,Virus,Experimental,Temperature,Environment,Expression of early viral gene in hematocytes,Intensity,Epidemiological,yes,Comparison,Cool_6C,Warm_22C,3,3,0,0,,,3.076923,2.202392,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 2c,"Not sure if the cool temperature is a control, gradient direction is only implicit in the framing of the paper. Plots include all points which were averaged and SE calculated, mortality recorded after about 4 days, parasite load recorded at least after 3 days"
35,Korkut et al. 2018 Dev Comp Immunol,6,BW,Pacifastacus leniusculus,Arthropod,White spot syndrome virus,Virus,Experimental,Temperature,Environment,Viral copies in hematopoietic tissue,Intensity,Epidemiological,yes,Comparison,Cool_6C,Warm_22C,5,4,0,0,,,998938.4,299347.4,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 2d,"Not sure if the cool temperature is a control, gradient direction is only implicit in the framing of the paper. Plots include all points which were averaged and SE calculated, mortality recorded after about 4 days, parasite load recorded at least after 3 days"
36,Korkut et al. 2018 Dev Comp Immunol,6,BW,Pacifastacus leniusculus,Arthropod,White spot syndrome virus,Virus,Experimental,Temperature,Environment,Viral copies in hematocytes,Intensity,Epidemiological,yes,Comparison,Cool_6C,Warm_22C,6,4,0,0,,,319532.9,212210.7,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 2d,"Not sure if the cool temperature is a control, gradient direction is only implicit in the framing of the paper. Plots include all points which were averaged and SE calculated, mortality recorded after about 4 days, parasite load recorded at least after 3 days"
37,Brand et al. 2016 EcoHealth,7,BW,Ambystoma maculatum,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Viral copies in homogenate of liver and kidney,Intensity,Epidemiological,yes,Comparison,Cool_10C,Warm_25C,2,12,10,2,,,9476,3196,,,,,SE,,,,,,,,,,,,,,,,,Table 1,Viral load recorded after 28 days
38,Brand et al. 2016 EcoHealth,7,BW,Ambystoma maculatum,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Contingency table,Cool_10C,Warm_25C,20,20,,,,,,,,,2,12,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,Prevalence recorded after 28 days
39,Brand et al. 2016 EcoHealth,8,BW,Hyla chrysoscelis,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Viral copies in homogenate of liver and kidney,Intensity,Epidemiological,no,Comparison,Warm_25C,Cool_10C,10,3,1267,538,,,5,0.3,,,,,SE,,,,,,,,,,,,,,,,,Table 1,"Gradient reversed because this species ""breeds during summer when water temperature is typically 20–30°C"". Viral load recorded after 28 days"
40,Brand et al. 2016 EcoHealth,8,BW,Hyla chrysoscelis,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,no,Contingency table,Warm_25C,Cool_10C,20,20,,,,,,,,,10,3,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Gradient reversed because this species ""breeds during summer when water temperature is typically 20–30°C"". Prevalence recorded after 28 days"
41,Brand et al. 2016 EcoHealth,9,BW,Lithobates clamitans,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Viral copies in homogenate of liver and kidney,Intensity,Epidemiological,no,Comparison,Warm_25C,Cool_10C,7,7,5781,1936,,,24,13,,,,,SE,,,,,,,,,,,,,,,,,Table 1,"Gradient reversed because this species ""breeds during summer when water temperature is typically 20–30°C"". Viral load recorded after 28 days"
42,Brand et al. 2016 EcoHealth,9,BW,Lithobates clamitans,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,no,Contingency table,Warm_25C,Cool_10C,20,20,,,,,,,,,20,20,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Gradient reversed because this species ""breeds during summer when water temperature is typically 20–30°C"". Prevalence recorded after 28 days"
43,Brand et al. 2016 EcoHealth,10,BW,Lithobates sylvaticus,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Viral copies in homogenate of liver and kidney,Intensity,Epidemiological,yes,Comparison,Cool_10C,Warm_25C,20,20,564,418,,,185464,21387,,,,,SE,,,,,,,,,,,,,,,,,Table 1,Viral load recorded after 28 days
44,Brand et al. 2016 EcoHealth,10,BW,Lithobates sylvaticus,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Contingency table,Cool_10C,Warm_25C,20,20,,,,,,,,,7,8,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,Prevalence recorded after 28 days
45,Brand et al. 2016 EcoHealth,7,BW,Ambystoma maculatum,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,Cool_10C,Warm_25C,20,20,,,,,,,,,0,11,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,Mortality recorded after 28 days
46,Brand et al. 2016 EcoHealth,7,BW,Ambystoma maculatum,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,Cool_10C,Warm_25C,20,20,,,,,,,,,20,20,OR,,,,,,,,,,,,,,,,,Figure 1,"No mortality, no need to digitize"
47,Brand et al. 2016 EcoHealth,8,BW,Hyla chrysoscelis,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,no,Contingency table,Warm_25C,Cool_10C,20,20,,,,,,,,,10,3,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Gradient reversed because this species ""breeds during summer when water temperature is typically 20–30°C"". Mortality recorded after 28 days"
48,Brand et al. 2016 EcoHealth,8,BW,Hyla chrysoscelis,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Uninfected demographic,no,Contingency table,Warm_25C,Cool_10C,20,20,,,,,,,,,0,13,OR,,,,,,,,,,,,,,,,,Results p1,"Gradient reversed because this species ""breeds during summer when water temperature is typically 20–30°C"". N success obtained by mutliplying % mortality by N. For all other species, the exact mortality of uninfected individuals is not reported"
49,Brand et al. 2016 EcoHealth,9,BW,Lithobates clamitans,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,no,Contingency table,Warm_25C,Cool_10C,20,20,,,,,,,,,8,1,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Gradient reversed because this species ""breeds during summer when water temperature is typically 20–30°C"". Mortality recorded after 28 days"
50,Brand et al. 2016 EcoHealth,9,BW,Lithobates clamitans,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Uninfected demographic,no,Contingency table,Warm_25C,Cool_10C,20,20,,,,,,,,,20,20,OR,,,,,,,,,,,,,,,,,Figure 1,"Gradient reversed because this species ""breeds during summer when water temperature is typically 20–30°C"". No mortality, no need to digitize"
51,Brand et al. 2016 EcoHealth,10,BW,Lithobates sylvaticus,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,Cool_10C,Warm_25C,20,20,,,,,,,,,0,20,OR,,,,,,,,,,,,,,,,,Digitized from Figure 1,Mortality recorded after 28 days
52,Brand et al. 2016 EcoHealth,10,BW,Lithobates sylvaticus,Amphibian,Frog Virus3 ranavirus,Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,Cool_10C,Warm_25C,20,20,,,,,,,,,20,20,OR,,,,,,,,,,,,,,,,,Figure 1,"No mortality, no need to digitize"
53,Buck et al. 2016 Freshw Biol,11,BW,Pseudacris regilla,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Nitrogen and phosphorus conc,Resource,Survival,Survivorship,Infected demographic,yes,Comparison,Without_nutrients,With_nutrients,8,8,65.8046,6.839084,,,90.86207,2.35632,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Fig 2,"Survival until metamorphosis, however long that takes, tadpoles were exposed to BD three times, not certain that they were infected"
54,Buck et al. 2016 Freshw Biol,11,BW,Pseudacris regilla,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Nitrogen and phosphorus conc,Resource,Survival,Survivorship,Uninfected demographic,yes,Comparison,Without_nutrients,With_nutrients,8,8,29.604132,13.425128,,,65.23236,8.95008,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Fig 2,"Survival until metamorphosis, however long that takes, tadpoles were not exposed to BD"
55,Buck et al. 2016 Freshw Biol,11,BW,Pseudacris regilla,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Nitrogen and phosphorus conc,Resource,Parasite load (genome equivalents),Intensity,Epidemiological,yes,Comparison,Without_nutrients,With_nutrients,80,80,0.65,0.17,,,0.68,0.22,,,,,SE,,,,,,,,,,,,,,,,,Results p3,"Parasite load reported for day 20, which is about halfway to metamorphosis"
56,Christofferson and Mores 2016 Environ Health insights,12,BW,Aedes aegypti,Arthropod,Dengue Virusserotype 2,Virus,Experimental,Temperature,Environment,Survival(time to death) post infection,Survivorship,Infected demographic,yes,Comparison,Cool_26C,Warm_30C,159,123,15.73,1.71,,,8.6,1.94,,,,,SE,,,,,,,,,,,,,,,,,Table 2,"Gradient direction only implicit in paper. Effects from 28C and 30C should be combined. Sample sizes in Table 1, Survival and prevalence measured over the same 22 day period"
57,Christofferson and Mores 2016 Environ Health insights,12,BW,Aedes aegypti,Arthropod,Dengue Virusserotype 2,Virus,Experimental,Temperature,Environment,Survival(time to death) post infection,Survivorship,Infected demographic,yes,Comparison,Cool_26C,Warm_28C,159,108,15.73,1.71,,,11.64,1.86,,,,,SE,,,,,,,,,,,,,,,,,Table 2,"Gradient direction only implicit in paper. Effects from 28C and 30C should be combined. Sample sizes in Table 1, Survival and prevalence measured over the same 22 day period"
58,Christofferson and Mores 2016 Environ Health insights,12,BW,Aedes aegypti,Arthropod,Dengue Virusserotype 3,Virus,Experimental,Temperature,Environment,Survival(time to death) unexposed,Survivorship,Uninfected demographic,yes,Comparison,Cool_26C,Warm_30C,144,124,15.3,0.63,,,15.09,0.41,,,,,SE,,,,,,,,,,,,,,,,,Table 2,"Gradient direction only implicit in paper. Effects from 28C and 30C should be combined. Sample sizes in Table 1, Survival and prevalence measured over the same 22 day period"
59,Christofferson and Mores 2016 Environ Health insights,12,BW,Aedes aegypti,Arthropod,Dengue Virusserotype 4,Virus,Experimental,Temperature,Environment,Survival(time to death) unexposed,Survivorship,Uninfected demographic,yes,Comparison,Cool_26C,Warm_28C,144,190,15.3,0.63,,,15.83,0.44,,,,,SE,,,,,,,,,,,,,,,,,Table 2,"Gradient direction only implicit in paper. Effects from 28C and 30C should be combined. Sample sizes in Table 1, Survival and prevalence measured over the same 22 day period"
60,Christofferson and Mores 2016 Environ Health insights,12,BW,Aedes aegypti,Arthropod,Dengue Virusserotype 2,Virus,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Contingency table,Cool_26C,Warm_30C,159,123,,,,,,,,,57,101,OR,,,,,,,,,,,,,,,,,Table 3,"Gradient direction only implicit in paper. Effects from 28C and 30C should be combined. Sample sizes in Table 1, Survival and prevalence measured over the same 22 day period. N infected obtained by multiplying %infected by N"
61,Christofferson and Mores 2016 Environ Health insights,12,BW,Aedes aegypti,Arthropod,Dengue Virusserotype 2,Virus,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Contingency table,Cool_26C,Warm_28C,159,108,,,,,,,,,57,89,OR,,,,,,,,,,,,,,,,,Table 3,"Gradient direction only implicit in paper. Effects from 28C and 30C should be combined. Sample sizes in Table 1, Survival and prevalence measured over the same 22 day period. N infected obtained by multiplying %infected by N"
62,Conroy et al. 2016 Environ Entomol,13,BW,Bombus impatiens,Arthropod,Crithidia sp.,Protozoan,Experimental,Pollen limitation,Resource,Parasite load (ln (cell count + 1)),Intensity,Epidemiological,yes,Comparison,With_pollen,Without_pollen,84,68,3.94,0.14,,,2.63,0.34,,,,,SE,,,,,,,,,,,,,,,,,Results p1,"Sample sizes are approximate (Data Analysis section), as given (+/- 2), Survival and parasite load measured 7 days post inoculation"
